id,answer_type,string,keywords
1,resource,Give me all cosmonauts.,cosmonauts
2,date,Give me the birthdays of all actors of the television show Charmed.,"television show, Charmed, actor, birthday"
3,resource,Who is the daughter of Robert Kennedy married to?,"Robert Kennedy, daughter, married"
4,resource,Which river does the Brooklyn Bridge cross?,"river, cross, Brooklyn Bridge"
5,number,How many countries are there in Europe?,"Europe, countries"
6,resource,In which city did John F. Kennedy die?,"city, John F. Kennedy, die"
7,boolean,Does the Isar flow into a lake?,"Isar, flow, lake"
8,resource,Which countries have more than ten caves?,"country, cave, more than ten"
9,boolean,Are tree frogs a type of amphibian?,"tree frog, amphibian"
10,resource,Who created Goofy?,"created, Goofy"
11,resource,Give me the capitals of all countries in Africa.,"Africa, country, capital"
12,resource,Give me all cities in New Jersey with more than 100000 inhabitants.,"New Jersey, city, inhabitants, more than 100000"
13,resource,Which museum exhibits The Scream by Munch?,"museum, Scream, Munch"
14,boolean,Is Egypts largest city also its capital?,"largest city, Egypt, capital"
15,number,How many people live in the capital of Australia?,"Australia, capital, people, live"
16,resource,In which country is the Limerick Lake?,"Limerick Lake, country"
17,resource,Which television shows were created by John Cleese?,"television show, create, John Cleese"
18,resource,Which mountain is the highest after the Annapurna?,"mountain, highest after, Annapurna"
19,resource,In which films directed by Garry Marshall was Julia Roberts starring?,"film, directed, Garry Marshall, starring, Julia Roberts"
20,boolean,Was U.S. president Jackson involved in a war?,"U.S. president, Jackson, war"
21,resource,Give me all communist countries.,communist countries
22,resource,Which awards did Douglas Hofstadter win?,"Douglas Hofstadter, award"
23,resource,What is the currency of the Czech Republic?,"Czech republic, currency"
24,resource,Which countries adopted the Euro?,"country, adopt, Euro"
25,number,What is the area code of Berlin?,"Berlin, area code"
26,resource,Which countries have more than two official languages?,"country, official language, more than two"
27,resource,Who is the owner of Rolls-Royce?,"Rolls-Royce, owner"
28,resource,Through which countries does the Yenisei river flow?,"Yenisei river, flow through, country"
29,date,When did Latvia join the EU?,"Latvia, join, EU"
30,resource,Which politicians were married to a German?,"politician, married, German"
31,date,When was the Battle of Gettysburg?,Battle of Gettysburg
32,resource,What is the highest mountain in Australia?,"Australia, highest mountain"
33,resource,Give me all soccer clubs in Spain.,"Spain, soccer club"
34,resource,What is the official language of Suriname?,"Suriname, official language"
35,resource,Who is the mayor of Tel Aviv?,"Tel Aviv, mayor"
36,resource,Which telecommunications organizations are located in Belgium?,"telecommunications organization, located, Belgium"
37,boolean,Is Frank Herbert still alive?,"Frank Herbert, alive"
38,resource,What is the highest place of the Urals?,"Urals, highest place"
39,resource,Who wrote the lyrics for the Polish national anthem?,"Poland, national anthem, write, lyrics"
40,resource,Give me all federal chancellors of Germany.,"Germany, federal chancellors"
41,string,What is the official website of Tom Cruise?,"Tom Cruise, official website"
42,resource,List all episodes of the first season of the HBO television series The Sopranos.,"HBO, television series, Sopranos, first season, episode"
43,boolean,Is there a video game called Battle Chess?,"video game, Battle Chess"
44,string,Give me the websites of companies with more than 500000 employees.,"website, company, employee, more than 500000"
45,resource,Which actors were born in Germany?,"actor, born, Germany"
